Listing warnings for log file:  C:\td\trunk\logdir\tdbuild-release-31-Thu-10-11480394.log
Total warnings in all files = 5101
Warnings:   File:
        1   ..\..\SQLWindows\share\sal\SalNavBar.cpp
        7   ..\..\ReportBuilder\pdf\PDFUtil.cpp
        4   ..\..\SQLWindows\share\db\dbsalfun.cpp
        4   ..\..\Util\fed\fedstat.cpp
      271   c:\td\trunk\util\include\..\..\SQLWindows\exe\res\resource.h
       11   ..\..\SQLWindows\share\fes\ufcgridXML.cpp
        4   ..\..\ReportBuilder\rdw\gredlgpr.cpp
        3   ..\..\DBExplorer\cgquery\select.cpp
        2   ..\..\QO\src\qckrpt\cpptabu.cpp
        2   ..\..\ReportBuilder\rtf\rtf.cpp
        1   c:\td\trunk\util\gtitools\intlutil.cpp
        1   ..\..\ReportBuilder\RDW\RichTextPP.cpp
       14   ..\..\Util\include\..\..\SQLWindows\exe\res\resource.h
        1   ..\..\ProfUI\include\ExtGridWnd.h
        6   ..\..\..\QDBExplorer\Spanish\QDBExplorSPAN.rc
        7   ..\..\profui\Include\ExtGridWnd.h
        3   ..\..\DBExplorer\dbexplorer\altertbl.cpp
        2   c:\td\trunk\util\dropdn\ddnbtn.cpp
        4   ..\..\SQLWindows\share\oed\oededit.cpp
       10   ..\..\xercesSRC\xercesc\util\Transcoders\Win32\Win32TransService.cpp
        3   ..\..\cdk\cenres\cdk_application.cpp
        1   .\UnifyReportBuilderCtrl.cpp
        7   ..\..\SQLWindows\include\toolmang.h
        1   ..\..\cdk\dll\cdk.cpp
        6   ..\..\SQLWindows\share\com\comcompd.cpp
        1   ..\..\ReportBuilder\rdw\gredlggr.cpp
        1   ..\..\sqlodb32\h\odbprt.h
        2   c:\td\trunk\xercesSRC\xercesc/internal/XMLScanner.hpp
        2   ..\..\ReportBuilder\rdw\greobj.cpp
        9   ..\..\cdk\cenres\res_textfilter.cpp
       35   c:\td\trunk\util\include\gtix.h
       28   ..\..\ReportBuilder\RDW\grefo105.cpp
        1   c:\td\trunk\util\include\../../include/tdver.h
        1   ..\..\ReportBuilder\rdw\rdwdlggo.cpp
        3   ..\..\Util\tabexp\TXLISCTL.CPP
        1   ..\..\DBExplorer\DBQryRpt\DBQryRep.cpp
        1   ..\..\appsrv\appcon\webIntVw.cpp
        1   .\CmdTargetPlus.cpp
